"","team","experiecea","salaryy","points3a","points2a","free_throwsa","pointsa","off_reboundsa","def_reboundsa","assistsa","stealsa","blocksa","turnoversa","foulsa","efficiencya"
"1","ATL",93,90.886495,626,2254,1373,4253,807,2537,1784,601,354,1136,1329,113.102810917064
"2","BOS",63,91.915088,985,2183,1536,4704,744,2698,2069,617,341,1037,1686,116.587350548984
"3","BRK",52,65.45121,738,1950,1381,4069,608,2546,1593,547,372,1152,1522,114.935073910409
"4","CHI",58,92.076887,565,2162,1330,4057,865,2416,1746,605,339,952,1275,111.865863429748
"5","CHO",66,100.246289,808,2102,1499,4409,634,2636,1805,550,320,827,1198,115.922248188732
"6","CLE",128,125.790216,1012,2107,1355,4474,727,2639,1760,475,299,1005,1318,133.873031203836
"7","DAL",62,92.0982,754,1803,1042,3599,534,2109,1291,538,266,703,1280,112.558134574261
"8","DEN",74,78.382995,868,2347,1471,4686,867,2646,2009,538,285,1097,1458,133.180930214978
"9","DET",55,103.073911,631,2638,1140,4409,908,2838,1731,574,310,932,1467,105.334660457623
"10","GSW",101,98.690906,982,2540,1447,4969,759,2854,2475,779,551,1171,1565,143.524338209936
"11","HOU",56,84.657075,1141,1769,1508,4418,766,2429,1906,564,292,1046,1314,118.127892177321
"12","IND",84,84.570337,641,2331,1333,4305,679,2436,1713,612,391,996,1490,108.435499497465
"13","LAC",124,114.776621,841,2401,1586,4828,740,2790,1848,613,349,1024,1626,115.353255409189
"14","LAL",66,86.269182,592,2249,1080,3921,909,2462,1430,593,307,1028,1593,109.096577472062
"15","MEM",83,108.342284,750,2140,1465,4355,866,2534,1669,612,329,973,1748,109.765806517979
"16","MIA",63,72.780438,799,2349,1217,4365,857,2649,1728,577,464,1019,1647,117.458649594457
"17","MIL",64,90.271843,718,2424,1388,4530,700,2541,1953,651,422,1064,1601,121.183845148042
"18","MIN",48,59.380935,601,2623,1585,4809,938,2530,1934,652,370,1095,1644,116.249952240389
"19","NOP",55,90.6343,513,1952,1120,3585,580,2244,1523,497,380,823,1164,128.78060603187
"20","NYK",59,97.006917,636,2445,1262,4343,961,2591,1499,526,451,975,1584,110.963706477843
"21","OKC",55,86.981364,611,2380,1511,4502,936,2628,1610,595,394,1133,1561,112.37855133406
"22","ORL",57,102.409129,614,2168,1230,4012,699,2435,1744,544,302,978,1432,97.0361543407328
"23","PHI",34,55.779169,690,1917,1212,3819,673,2282,1788,599,369,1184,1516,128.760791903209
"24","PHO",68,72.527291,564,2551,1605,4720,882,2456,1530,587,385,1171,1886,111.453196220505
"25","POR",43,103.032234,852,2156,1386,4394,710,2437,1519,524,345,988,1587,108.89773350268
"26","SAC",68,88.194223,558,1838,998,3394,524,1878,1394,503,234,847,1302,110.780074814457
"27","SAS",99,104.686678,743,2459,1431,4633,821,2768,1926,650,485,1038,1479,117.7880675685
"28","TOR",57,108.458469,626,2359,1570,4555,848,2533,1469,621,379,933,1609,121.657751020651
"29","UTA",71,80.323193,791,2242,1401,4434,771,2774,1651,550,410,1061,1545,111.338701366359
"30","WAS",56,98.779271,671,2417,1316,4404,748,2393,1861,605,314,1017,1465,115.554157092826
